eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
ci10012262,8/13/78,1978,5.1,"12km S of Santa Barbara, CA",0.2,150,1,,14.3908,590.4282,74.2232,3953.036,0,0,0,0,0,0,0,1
ci134894,11/24/87,1987,6.2,"17km WNW of Westmorland, CA",15,200,1,1,111.4949,2710.7327,62.9705,2778.5927,0,0,0,0,0,0,0,1
ci3019681,4/23/92,1992,6.1,"17km NNE of Thousand Palms, California",0.39,320,1,1,58.5936,3559.5017,710.252,43215.253,0,0,0,0,0,0,0,1
ci3105173,5/17/93,1993,6.1,"46km E of Big Pine, California",0.54,0,1,1,135.2447,3809.0459,,,0,0,0,0,0,0,0,1
ci3329122,4/9/68,1968,6.6,"5km NNE of Ocotillo Wells, CA",90,11000,1,1,52.0677,886.5567,189.8609,6287.9094,0,0,0,0,0,0,0,1
ci3347678,2/9/71,1971,6.6,"10km SSW of Agua Dulce, CA",22,30000,1,,776.0644,22187.8535,321.1065,8262.4724,,,,0,0,0,0,1
ci3352060,10/15/79,1979,6.4,"10km E of Mexicali, B.C., MX",100,18000,1,1,1046.4676,18009.851,116.1333,2694.2383,0,0,0,0,0,0,0,0
ci628016,11/24/87,1987,6.6,"22km W of Westmorland, CA",60,9100,1,,705.5511,13402.5318,44.8289,1409.1985,,,,0,0,0,0,1
ci700917,7/8/86,1986,6,"6km SSW of Morongo Valley, CA",1.2,630,1,1,2490.1276,140499.5389,4228.6334,247190.3145,0,0,0,0,0,0,0,1
ci731691,10/1/87,1987,5.9,"2km SSW of Rosemead, CA",9.3,29000,1,,950.305,29609.1852,799.6576,26314.5132,,,,0,0,0,0,1
hv19730624,4/26/73,1973,6.2,"Hawaii region, Hawaii",0,0,1,,0,0,0,0,,,,0,0,0,0,1
hv5532127,10/15/06,2006,6.7,"Hawaii region, Hawaii",0,0,1,,0,0,0,0,,,,0,0,0,0,1
hv70116556,5/4/18,2018,6.9,"19km SSW of Leilani Estates, Hawaii",0,0,1,,0,0,0,0,,,,0,0,0,0,1
iscgem791579,10/31/70,1970,6.9,"near the north coast of New Guinea, Papua New Guinea",570,22000,1,,538.9694,1969.6273,31.5477,80.135,,,,0,0,0,0,0
iscgem796163,5/31/70,1970,7.9,near the coast of northern Peru,15,1500,1,,182.3876,3132.3344,19.5652,916.7046,,,,0,0,0,0,0
iscgem811200,3/21/69,1969,6,"Baja California-Sonora border region, Mexico",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
iscgem822588,5/23/68,1968,7.2,South Island of New Zealand,120,2600,1,,1137.5647,5493.8922,146.0953,294.5729,,,,0,0,0,0,0
iscgem842581,10/17/66,1966,8.1,near the coast of central Peru,4.2,86,1,,20.9152,390.9914,8.9862,324.6188,,,,0,0,0,0,0
iscgem844236,8/7/66,1966,6.5,"173km SE of Estacion Coahuila, B.C., MX",0.39,240,1,1,11.2562,313.5441,16.6065,541.2922,0,0,0,0,0,0,0,0
iscgem866844,6/16/64,1964,7.6,"near the west coast of Honshu, Japan",570,430000,1,,505.9624,699.4644,267.8391,359.297,,,,0,0,0,0,0
iscgem896645,7/10/49,1949,7.5,Tajikistan,0.89,33,1,,51.4639,1187.2976,12.6468,416.9981,,,,0,0,0,0,0
iscgem908150,6/16/29,1929,7.3,South Island of New Zealand,31,1400,1,,197.0985,1488.265,30.4933,36.996,,,,0,0,0,0,0
iscgem911526,9/1/23,1923,8.1,"Kanto, Japan",2000,5600000,1,,734.3844,2102.9996,224.4421,578.1953,,,,0,0,0,0,0
iscgem912687,12/16/20,1920,8.3,"Gansu-Ningxia border region, China",450,140000,1,,2638.7735,32326.638,269.169,3226.7997,,,,0,0,0,0,0
iscgem913306,10/11/18,1918,7.1,Puerto Rico region,160,45000,1,,622.8962,3427.1142,84.7292,554.3472,,,,0,0,0,0,0
ld2002042000,4/20/02,2002,5.3,New York,0.093,7,1,,37.7307,2228.8606,428.3777,27771.561,0,0,0,0,0,0,0,1
nc10085763,7/21/86,1986,6.4,Central California,3.4,20,1,1,94.316,2721.1738,143.6596,7956.643,0,0,0,0,0,0,0,1
nc1053043,5/25/80,1980,6.1,Central California,4,0,1,1,366.0334,7992.7569,49.298,2536.044,0,0,0,0,0,0,0,1
nc1053045,5/25/80,1980,6,"Long Valley area, California",0.7,0,1,1,12.6343,385.4699,47.7783,2946.6213,0,0,0,0,0,0,0,1
nc1053054,5/25/80,1980,6.1,Central California,0.69,0,1,1,8.1506,236.8151,106.0604,7813.5647,0,0,0,0,0,0,0,1
nc1053177,5/27/80,1980,6.2,Central California,0.87,1,1,1,13.6868,533.9273,10.4194,487.6697,0,0,0,0,0,0,0,1
nc1091100,5/2/83,1983,6.7,Central California,110,1600,1,,1056.849,15931.9987,51.1769,837.9018,,,,0,0,0,0,1
nc17204,4/24/84,1984,6.2,Northern California,19,21000,1,1,173.8936,3156.5657,89.4316,2115.5392,0,0,0,0,0,0,0,1
nc228027,8/17/91,1991,6,Northern California,0.072,0,1,1,10.9687,342.5258,10.3064,365.2142,0,0,0,0,0,0,0,1
nc269151,4/25/92,1992,7.2,"20km SSW of Rio Dell, California",43,1500,1,,57.9467,127.5311,19.8015,229.7078,,,,0,0,0,0,1
nc32321,11/23/84,1984,6.1,Central California,0.42,0,1,1,29.9519,1685.7673,inf,inf,0,0,0,0,0,0,0,1
nm606657,4/18/08,2008,5.2,"11km WNW of Mount Carmel, Illinois",11,48,1,,167.9472,4850.1964,27.3661,1179.5192,,,,0,0,0,0,1
nn00725272,5/15/20,2020,6.5,"56 km W of Tonopah, Nevada, ",11,0,1,,99.6579,1459.3909,5.9807,131.8355,0,0,0,0,0,0,0,1
official19500815140934_30,8/15/50,1950,8.6,eastern Xizang-India border region,4500,1300000,1,,2091.8901,1519.307,735.2378,436.1949,,,,0,0,0,0,0
official20030925195006360_27,9/25/03,2003,8.2,"Hokkaido, Japan region",510,85000,1,,272.1428,1585.6169,90.6458,286.4299,,,,0,0,0,0,0
official20030925195006360_27,9/25/03,2003,8.2,"Hokkaido, Japan region",510,85000,1,,272.1428,1585.6169,90.6458,286.4299,,,,0,0,0,0,0
official20100227063411530_30,2/27/10,2010,8.8,"offshore Bio-Bio, Chile",1300,210000,1,,2215.9636,18269.5193,186.7566,2093.8359,,,,0,0,0,0,0
official20110311054624120_30,3/11/11,2011,9.1,"2011 Great Tohoku Earthquake, Japan",2200,3900000,1,,1823.1863,6649.5269,625.1708,2300.6571,,,,0,0,0,0,0
us10001ldx,3/10/15,2015,6.2,"9km NNE of Aratoca, Colombia",0,0,1,,0,0,0,0,,,,0,0,0,0,0
us10003ywp,11/17/15,2015,6.5,"10km WSW of Nidri, Greece",41,3300,1,,35.6738,169.6331,13.4511,76.3901,,,,0,0,0,0,0
us10006g7d,8/24/16,2016,6.2,"10km SE of Norcia, Italy",0.026,1,1,,44.417,2251.4784,384.1138,27766.1432,,,,0,0,0,0,0
us1000778i,11/13/16,2016,7.8,"54km NNE of Amberley, New Zealand",68,6800,1,,95.6549,836.2453,31.9554,168.39,,,,0,0,0,0,0
us10008e3k,4/3/17,2017,6.5,"132km WSW of Moijabana, Botswana",910,360,1,,311.3062,3850.2178,127.2796,1752.4579,,,,0,0,0,0,0
us1000eu1c,6/17/18,2018,5.5,"1km NW of Hirakata, Japan",70,460000,1,,175.5091,1096.077,108.9201,753.6058,,,,0,0,0,0,0
us1000h3p4,9/28/18,2018,7.5,"70km N of Palu, Indonesia",450,140000,1,,576.4459,1383.7051,135.6704,316.4016,,,,0,0,0,0,0
us1000hfgv,10/22/18,2018,6.8,"202km SW of Port Hardy, Canada",0,0,1,,0,0,0,0,,,,0,0,0,0,0
us20002926,4/25/15,2015,7.8,"36km E of Khudi, Nepal",3800,4100000,1,,980.5473,2226.0014,1001.5435,2314.3416,,,,0,0,0,0,0
us20002m5s,6/4/15,2015,6,"14km WNW of Ranau, Malaysia",0.95,200,1,,179.749,5600.5528,56.2232,1810.5412,,,,0,0,0,0,0
us20003k7a,9/16/15,2015,8.3,"48km W of Illapel, Chile",7.9,2100,1,,33.4527,1040.6608,18.5634,820.0891,,,,0,0,0,0,0
us20004y6h,2/5/16,2016,6.4,"25km SE of Yujing, Taiwan",360,330000,1,,197.3569,509.0007,115.5431,352.0462,,,,0,0,0,0,0
